=======  节点名是！  =======
======= 提取了vecters们！ =======
x: -0.2524042, y: 0.1365114, z: 0.380154
x: -0.2517239, y: 0.1289314, z: 0.4566342
x: -0.1793739, y: 0.1652765, z: 0.2057657
x: -0.1223782, y: 0.1894742, z: 0.3834582
x: -0.1199487, y: 0.1768409, z: 0.4653804
x: -0.0003209244, y: 0.192098, z: 0.4649917
x: -0.0003209244, y: 0.1992893, z: 0.3790851
x: -0.07971647, y: 0.1303891, z: 0.2965798
x: -0.09453633, y: 0.1150834, z: 0.1984772
x: -0.05780252, y: 0.01712657, z: 0.2003236
x: -0.0003209244, y: 0.1300004, z: 0.3113511
x: -0.022575, y: 0.01892439, z: 0.2897772
x: -0.0003209244, y: 0.01717515, z: 0.2982319
x: -0.187294, y: 0.1732452, z: 0.08171621
x: -0.2555139, y: 0.1250443, z: 0.203239
x: -0.1793739, y: 0.1652765, z: 0.2057657
x: -0.2641629, y: 0.1328186, z: 0.08006416
x: -0.186711, y: 0.1770352, z: -0.0006918926
x: -0.2686332, y: 0.1400099, z: -0.0006918926
x: -0.3018685, y: 0.03952641, z: 0.002612205
x: -0.2970096, y: 0.03311257, z: 0.08259083
x: -0.290207, y: 0.03199501, z: 0.2026559
x: -0.2919562, y: -0.08369703, z: -0.0006918926
x: -0.2740752, y: -0.049004, z: 0.0926003
x: -0.2637742, y: -0.05541784, z: 0.2004208
x: -0.2762132, y: -0.109158, z: 0.06121136
x: -0.2669811, y: -0.1571646, z: -0.0006918926
x: -0.1879743, y: -0.1067285, z: 0.108149
x: -0.1801513, y: -0.1060969, z: 0.201344
x: -0.1907925, y: -0.1578449, z: 0.07345597
x: -0.1922502, y: -0.1886508, z: -0.0006918926
x: -0.1138264, y: -0.1656193, z: -0.0006918926
x: -0.1012903, y: -0.1185844, z: 0.0652929
x: -0.07650955, y: -0.08904191, z: -0.0006918926
x: -0.06980418, y: 0.01494003, z: 0.08579775
x: -0.0630988, y: 0.01046978, z: 0.0009601563
